رقم الحديث;طرف الحديث;اسم الصحابي الراوي;تخريج الحديث;درجة الحديث
590;الإسبال في الإزار والقميص والعمامة، من جرّ شيئاً خيلاء لم ينظر الله إليه يوم القيامة;ابن عمر;رواه أبو داود والنسائي وابن ماجه;صحيح
591;لا ينظر الله إلى من جرّ إزاره بطراً;أبو هريرة;متفق عليه;صحيح
592;كساني رسول الله ﷺ قُبطيّة كثيفة... فقال: مُرها فلتجعل تحتها غِلالة فإني أخاف أن تصف حجم عظامها;أسامة بن زيد;رواه أحمد;حسن
593;أن النبي ﷺ دخل على أم سلمة وهي تختمر فقال: لَيَّة لا ليَّتَيْن;أم سلمة;رواه أحمد وأبو داود;حسن
594;صنفان من أهل النار لم أرهما بعد: نساء كاسيات عاريات مائلات مُميلات... ورجال معهم سياط كأذناب البقر يضربون بها الناس;أبو هريرة;رواه أحمد ومسلم;صحيح
595;أن النبي ﷺ لعن الرجل يلبس لبس المرأة والمرأة تلبس لبس الرجل;أبو هريرة;رواه أحمد وأبو داود;صحيح
596;كان رسول الله ﷺ إذا لبس قميصاً بدأ بيمينه;أبو هريرة;رواه الترمذي;حسن
597;كان رسول الله ﷺ إذا استجدّ ثوباً سمّاه باسمه عمامة أو قميصاً أو رداء، ثم يقول: اللهم لك الحمد أنت كسوتنيه أسألك خيره وخير ما صُنع له وأعوذ بك من شره وشر ما صُنع له;أبو سعيد الخدري;رواهما الترمذي;حسن
598;سمعت رجلاً سأل النبي ﷺ: أُصلّي في الثوب الذي يأتي فيه أهلي؟ قال: نعم إلا أن ترى فيه شيئاً فتغسله;جابر بن سمرة;رواه أحمد وابن ماجه;حسن
599;هل كان النبي ﷺ يُصلّي في الثوب الذي يُجامع فيه؟ قالت: نعم، إذا لم يكن فيه أذى;أم حبيبة;رواه الخمسة إلا الترمذي;صحيح
600;أنه صلّى فلمّا صلّى خلع نعليه فخلع الناس نعالهم، فلمّا انصرف قال لهم: لِم خلعتم؟ قالوا: رأيناك خلعت فخلعنا. قال: إن جبريل أخبرني أن بهما خبثاً فإذا جاء أحدكم المسجد فليقلبهما وليقلّب فيهما وإن رأى خبثاً فليمسحه بالأرض;أبو سعيد الخدري;رواه أحمد وأبو داود;صحيح
601;أن رسول الله ﷺ كان يُصلّي وهو حامل أُمامة بنت زينب بنت رسول الله ﷺ فإذا ركع وضعها وإذا قام حملها;أبو قتادة;متفق عليه;صحيح
602;كنا نُصلّي مع النبي ﷺ فكان الحسن والحسين على ظهره، فإذا رفع رأسه أخذهما رفيقاً من خلفه ووضعهما على الأرض فإذا عاد عادا، حتى قضى صلاته أقعد أحدهما على فخذيه. قال: فقمت إليه قلت: يا رسول الله أردّهما؟ قال: الحقا بأُمّكما;أبو قتادة;رواه أحمد;حسن
603;كان النبي ﷺ يُصلّي من الليل وأنا إلى جنبه وأنا حائض وعليّ مِرْط;عائشة;رواه مسلم وأبو داود وابن ماجه;صحيح
604;كان النبي ﷺ لا يُصلّي في شُعُرنا;عائشة;رواه أحمد وأبو داود والترمذي وصحّحه، ولفظه: لا يُصلّي في لُحُف نسائه;صحيح
605;رأيت النبي ﷺ يُصلّي على حمار وهو مُتوجّه إلى خيبر;ابن عمر;رواه أحمد ومسلم والنسائي وأبو داود;صحيح
606;أنه رأى رسول الله ﷺ يُصلّي على حمار وهو راكب والقبلة خلفه;أنس;رواه النسائي;صحيح موقوف
607;أن النبي ﷺ صلّى على بساط;ابن عباس;رواه أحمد وابن ماجه;ضعيف
608;كان النبي ﷺ يُصلّي على الحصير والفَرْوة المدبوغة;المغيرة بن شعبة;رواه أحمد وأبو داود;صحيح
609;أنه دخل على رسول الله ﷺ فرأيته يُصلّي على حصير يسجد عليه;أبو سعيد;رواه مسلم;صحيح
610;كان رسول الله ﷺ يُصلّي على الخُمرة;ميمونة;رواه الجماعة إلا الترمذي;صحيح
611;ما أُبالي لو صلّيت على خمس طنافس;أبو الدرداء;رواه البخاري في تاريخه;صحيح موقوف
612;سألت أنساً: أكان النبي ﷺ يُصلّي في نعليه؟ قال: نعم;أبو مسلمة سعيد بن يزيد;متفق عليه;صحيح
613;خالفوا اليهود فإنهم لا يُصلّون في نعالهم ولا خِفافهم;شدّاد بن أوس;رواه أبو داود;صحيح
614;جُعلت لي الأرض مسجداً وطهوراً فأيّما رجل أدركته الصلاة فليُصلِّ حيث أدركته;جابر;متفق عليه;صحيح
615;أيّ مسجد وُضع أوّل؟ قال: المسجد الحرام. قلت: ثم أيّ؟ قال: المسجد الأقصى. قلت: كم بينهما؟ قال: أربعون سنة. ثم أيّ؟ قال: حيثما أدركت الصلاة فصلّ فكلّها مسجد;أبو ذر الغفاري;متفق عليه;صحيح
616;الأرض كلّها مسجد إلا المقبرة والحمّام;أبو سعيد الخدري;رواه الخمسة إلا النسائي;حسن
617;لا تُصلّوا إلى القبور ولا تجلسوا عليها;أبو مرثد الغنوي;رواه الجماعة إلا البخاري;صحيح
618;اجعلوا من صلاتكم في بيوتكم ولا تتّخذوها قبوراً;ابن عمر;رواه الجماعة إلا ابن ماجه;صحيح
619;إن من كان قبلكم كانوا يتّخذون قبور أنبيائهم وصالحيهم مساجد، ألا فلا تتّخذوا القبور مساجد إني أنهاكم عن ذلك;جندب بن عبد الله;رواه مسلم;صحيح
620;صلّوا في مرابض الغنم ولا تُصلّوا في أعطان الإبل;أبو هريرة;رواه أحمد والترمذي وصحّحه;صحيح
621;نهى أن يُصلَّى في سبعة مواطن: في المزبلة والمجزرة والمقبرة وقارعة الطريق وفي الحمّام وفي معاطن الإبل وفوق ظهر بيت الله;ابن عمر;رواه عبد الحميد بن حميد والترمذي وابن ماجه;ضعيف
622;دخل رسول الله ﷺ البيت هو وأسامة بن زيد وبلال وعثمان بن طلحة فأغلقوا عليهم... فلقيت بلالاً فسألته: هل صلّى فيه رسول الله ﷺ؟ فقال: نعم، بين العمودين اليمانيَّيْن;ابن عمر;متفق عليه;صحيح
623;هل صلّى رسول الله ﷺ في الكعبة؟ قال: نعم ركعتين بين الساريتين إذا دخلت، ثم خرج فصلّى ركعتين في وجهة الكعبة;ابن عمر;رواه أحمد والبخاري;صحيح
624;سُئل النبي ﷺ: كيف أُصلّي في السفينة؟ قال: صلِّ فيها قائماً إلا أن تخاف الغرق;ابن عمر;رواه الدارقطني والحاكم;حسن
625;أن النبي ﷺ انتهى إلى مضيق هو وأصحابه والسماء من فوقهم والبلة من أسفل منهم فحضرت الصلاة فأمر المؤذّن فأذّن وأقام ثم تقدّم رسول الله ﷺ على راحلته فصلّى بهم يومئ إيماءً يجعل السجود أخفض من الركوع;يعلى بن مرة;رواه أحمد والترمذي;ضعيف
626;رأيت رسول الله ﷺ وهو على راحلته يُسبّح برأسه قِبَل أيّ وجهة توجّه ولم يكن يصنع ذلك في الصلاة المكتوبة;عامر بن ربيعة;متفق عليه;صحيح
627;أن النبي ﷺ أمره أن يجعل مساجد الطائف حيث كانت طواغيتهم;عثمان بن أبي العاصي;رواه أبو داود وابن ماجه;حسن
628;خرجنا وفداً إلى النبي ﷺ وبايعناه وأخبرناه أن بأرضنا بيعةً لنا واستوهبناه من فضل طهوره، فدعا بماء فتوضّأ ومضمض ثم صبّه لنا وأمرنا فقال: اخرجوا فإذا أتيتم أرضكم فاكسروا بيعتكم وانضحوا مكانها بهذا الماء واتّخذوها مسجداً;طلق بن علي;رواه النسائي;صحيح
629;أن النبي ﷺ كان يُحبّ أن يُصلّي حيث أدركته الصلاة ويُصلّي في مرابض الغنم وأنه أمر ببناء المسجد فأرسل إلى مال من بني النجار...;أنس;مختصر من حديث متفق عليه;صحيح
630;من بنى لله مسجداً بنى الله له مثله في الجنة;عثمان بن عفان;متفق عليه;صحيح
631;من بنى لله مسجداً ولو كمِفْحص قطاة ليبيضَ فيها بنى الله له بيتاً في الجنة;ابن عباس;رواه أحمد;ضعيف
632;ما أُمرت بتشييد المساجد. قال ابن عباس: لَتُزخرفُنَّها كما زخرفت اليهود والنصارى;ابن عباس;أخرجه أبو داود;صحيح
633;لا تقوم الساعة حتى يتباهى الناس في المساجد;أنس;رواه الخمسة إلا الترمذي;صحيح
634;عُرضت عليّ أجور أمتي حتى القذاة يُخرجها الرجل من المسجد، وعُرضت عليّ ذنوب أمتي فلم أرَ ذنباً أعظم من سورة من القرآن أو آية أُوتيها رجل ثم نسيها;أنس;رواه أبو داود;ضعيف
635;أمر رسول الله ﷺ ببناء المساجد في الدور وأن تُنظَّف وتُطيَّب;عائشة;رواه الخمسة إلا النسائي;صحيح
636;أمرنا أن نتّخذ المساجد في ديارنا وأمرنا أن نُنظِّفها;سمرة بن جندب;رواه أحمد والترمذي وصحّحه;صحيح
637;من أكل الثوم والبصل والكرّاث فلا يقربنّ مسجدنا فإن الملائكة تتأذّى مما يتأذّى منه بنو آدم;جابر;متفق عليه;صحيح
638;إذا دخل أحدكم المسجد فليقل: اللهم افتح لي أبواب رحمتك، وإذا خرج فليقل: اللهم إني أسألك من فضلك;أبو حميد أو أبي أسيد;رواه أحمد والنسائي ومسلم وأبو داود;صحيح
639;كان رسول الله ﷺ إذا دخل المسجد قال: بسم الله والسلام على رسول الله. وإذا خرج قال: بسم الله والسلام على رسول الله اللهم اغفر لي ذنوبي وافتح لي أبواب فضلك;فاطمة الزهراء;رواه أحمد وابن ماجه;ضعيف
640;من سمع رجلاً يَنشُد ضالّة في المسجد فليقل: لا أدّاها الله إليك فإن المساجد لم تُبنَ لهذا;أبو هريرة;رواه مسلم وأحمد وأبو داود وابن ماجه وابن خزيمة;صحيح
641;هل منكم أحد أطعم اليوم مسكيناً;عبد الرحمن بن أبي بكر;رواه أبو داود (2267)، والبزار;حسن
642;كنا نأكل على عهد رسول الله ﷺ في المسجد الخبز واللحم;عبد الله بن الحارث;رواه ابن ماجه (3300);حسن
643;كان قِرامٌ لعائشة قد سترت به جانب بيتها فقال النبي ﷺ: أميطي عني قرامك;أنس بن مالك;رواه أحمد والبخاري (البخاري 1/125، أحمد 5/380);صحيح
644;إني كنت رأيت قرني الكبش حين دخلت البيت فنسيت أن تُخمِّرهما;عثمان بن طلحة;رواه أحمد وأبو داود (أبو داود 2030، أحمد 5/380);صحيح
645;إذا كنتم في المسجد فنودي بالصلاة فلا يخرج أحدكم حتى يصلي;أبو هريرة;رواه أحمد (2/537);حسن
646;خرج رجل من المسجد بعد أن أُذِّن فيه فقال أبو هريرة: أما هذا فقد عصى أبا القاسم ﷺ;أبو هريرة (من فعله);رواه الجماعة إلا البخاري (مسلم 2/125، أبو داود 536، أحمد 2/410، 416، 471، الترمذي 204، النسائي 2/29، ابن ماجه 733);صحيح
647;فإذا قمت إلى الصلاة فأسبغ الوضوء ثم استقبل القبلة فكبِّر;أبو هريرة;سيأتي برقم (764);صحيح
648;بينما الناس في صلاة الصبح بقُباء إذ جاءهم آتٍ فقال إن النبي ﷺ قد أُنزل عليه الليلة وقد أُمر أن يستقبل القبلة فاستقبلوها;ابن عمر;متفق عليه (البخاري 1/111، 6/27، 108/9، مسلم 2/66، أحمد 2/16، 26، 105، 113);صحيح
649;قد نرى تقلُّب وجهك في السماء فلنولينك قبلة ترضاها فولِّ وجهك شطر المسجد الحرام;أنس بن مالك;رواه أحمد ومسلم وأبو داود (مسلم 2/66، أحمد 3/284، أبو داود 1045);صحيح
650;ما بين المشرق والمغرب قِبلة;أبو هريرة;رواه ابن ماجه والترمذي وصحَّحه (الترمذي 342، 343، 344، ابن ماجه 1011، أحمد 4/309);صحيح
651;ولكن شرِّقوا أو غرِّبوا;أبو أيوب الأنصاري;جزء من حديث أبي هريرة السابق;صحيح
652;أنه كان إذا سُئل عن صلاة الخوف وصفها ثم قال: فإن كان خوف أشدَّ من ذلك صلّوا رجالاً قياماً على أقدامهم وركباناً مستقبلي القبلة وغير مستقبليها;نافع عن ابن عمر;رواه البخاري (البخاري صحيح البخاري 1/188، 20/6);صحيح
653;كان النبي ﷺ يسبِّح على راحلته قِبَل أيِّ وجهة توجَّه ويوتر عليها غير أنه لا يصلي عليها المكتوبة;ابن عمر;متفق عليه (البخاري 2/56، مسلم 2/150، أحمد 7/2);صحيح
654;رأيت النبي ﷺ وهو على راحلته يصلي النوافل في كل جهة ولكن يخفض السجود من الركوع ويومئ إيماءً;جابر بن عبد الله;رواه أحمد (أحمد 3/296، عبد الرزاق 4521، ابن الجارود 228، ابن حبان 2524، البيهقي 5/2);صحيح
655;كان رسول الله ﷺ إذا أراد أن يصلي تطوعاً على راحلته استقبل القبلة فكبَّر للصلاة ثم خلَّى عن راحلته فصلَّى حيثما توجَّهت به;أنس بن مالك;رواه أحمد وأبو داود (أحمد 3/203، أبو داود 1225، ابن حبان 4/114);حسن
656;مفتاح الصلاة الطهور، وتحريمها التكبير، وتحليلها التسليم;علي بن أبي طالب;رواه الخمسة إلا النسائي (أبو داود 61، الترمذي 3، ابن ماجه 275);صحيح
657;صلُّوا كما رأيتموني أصلِّي;مالك بن الحويرث;رواه أحمد والبخاري (البخاري 1/162/9، 107/9، أحمد 5/53);صحيح
658;كان ﷺ يسوِّي صفوفنا إذا قمنا إلى الصلاة، فإذا استوينا كبَّر;النعمان بن بشير;رواه أبو داود (أبو داود 665، 1380، البيهقي 21/2);صحيح
659;إذا قمتم إلى الصلاة فليؤمَّكم أحدكم وإذا قرأ الإمام فأنصتوا;أبو موسى الأشعري;رواه أحمد (أحمد 3/203);صحيح
660;كان رسول الله ﷺ إذا قام إلى الصلاة رفع يديه مدًّا;أبو هريرة;رواه الخمسة إلا ابن ماجه (أحمد 2/434، 500، الترمذي 753، أبو داود 2495، النسائي 2/124، الطيالسي 2495);صحيح
661;أنه رأى النبي ﷺ يرفع يديه مع التكبيرة;وائل بن حُجر;رواه أحمد وأبو داود (أحمد 4/316، أبو داود 725);صحيح
662;كان النبي ﷺ إذا قام إلى الصلاة رفع يديه حتى يكونا بمنكبيه ثم يكبِّر، وإذا أراد أن يركع رفعهما مثل ذلك، وإذا رفع رأسه من الركوع رفعهما كذلك أيضاً وقال: سمع الله لمن حمده;ابن عمر;متفق عليه (البخاري 2/6 - 7، مسلم 2/18، أحمد 2/134);صحيح
663;أن ابن عمر كان إذا دخل في الصلاة كبَّر ورفع يديه، وإذا رفع رأسه من الركوع رفع يديه;نافع عن ابن عمر;رواه البخاري والنسائي وأبو داود (البخاري 1/188، أبو داود 741);صحيح
664;أنه كان إذا قام إلى الصلاة المكتوبة كبَّر ورفع يديه حذو منكبيه، ويصنع مثل ذلك إذا قضى قراءته وأراد أن يركع، وإذا رفع رأسه من الركوع، ولا يرفع يديه في شيء من صلاته وهو قاعد، وإذا قام من السجدتين رفع يديه كذلك وكبَّر;علي بن أبي طالب;رواه أحمد وأبو داود والترمذي وصحَّحه (أحمد 1/93، أبو داود 744، 761، الترمذي 3423);صحيح
665;أنه رأى مالك بن الحويرث إذا صلَّى كبَّر ورفع يديه، وإذا أراد أن يركع رفع يديه، وإذا رفع رأسه رفع يديه، وحدَّث أن رسول الله ﷺ صنع هكذا;مالك بن الحويرث;متفق عليه (البخاري 1/188، 1/7، مسلم 7/2);صحيح
666;أنه رأى النبي ﷺ إذا كبَّر رفع يديه حتى يُحاذي بهما أُذنيه، وإذا رفع يديه وإذا رفع رأسه من الركوع وإذا سجد وضع يده اليمنى على كفِّه اليُسرى والرُّسغ والساعد;وائل بن حُجر;رواه أحمد ومسلم (البخاري 1/188، مسلم 7/2، أحمد 3/436، 437، 5/53);صحيح
667;قال وهو في عشرة من أصحاب النبي ﷺ أحدهم أبو قتادة: أنا أعلمكم بصلاة رسول الله ﷺ... كان رسول الله ﷺ إذا قام إلى الصلاة اعتدل قائماً ورفع يديه حتى يُحاذي بهما منكبيه;أبو حميد الساعدي;رواه الخمسة إلا النسائي وصحَّحه الترمذي، ورواه البخاري مختصراً (البخاري 2/211، أبو داود 730، 963، الترمذي 304، 305، النسائي 2/211، ابن ماجه 1062);صحيح
668;أنه رأى النبي ﷺ رفع يديه حين دخل في الصلاة وكبَّر، ثم التحف بثوبه، ثم وضع يده اليُمنى على اليُسرى، فلمَّا أراد أن يركع أخرج يديه ثم رفعهما وكبَّر وركع، فلمَّا قال: سمع الله لمن حمده رفع يديه، فلمَّا سجد سجد بين كفَّيه;وائل بن حُجر;رواه أحمد ومسلم (مسلم 2/13، أحمد 4/317 - 318);صحيح
669;كان الناس يُؤمَرون أن يضع الرجل اليد اليُمنى على ذراعه اليُسرى في الصلاة، قال أبو حازم: ولا أعلمه إلا ينمي ذلك إلى النبي ﷺ;سهل بن سعد;رواه أحمد والبخاري (البخاري 1/188/1، أحمد 5/336/5);صحيح
670;أنه كان يصلي فوضع يده اليُسرى على اليُمنى، فرآه النبي ﷺ فوضع يده اليُمنى على اليُسرى;ابن مسعود;رواه أبو داود والنسائي وابن ماجه (أبو داود 755، النسائي 2/126/2، ابن ماجه 811، العقيلي 1/283 - 284، الدارقطني 1/286 - 287 - 288، البيهقي 2/28);حسن
671;إن من السنة في الصلاة وضع الأكفِّ على الأكفِّ تحت السُّرة;علي بن أبي طالب;رواه أحمد [وأبو داود] (أبو داود 756، الدارقطني 1/286، 110/1);ضعيف
672;أن النبي ﷺ كان يقلِّب بصره في السماء فنزلت هذه الآية: ﴿الَّذِينَ هُمْ فِي صَلاتِهِمْ خَاشِعُونَ﴾ فطأطأ رأسه;ابن سيرين (مرسل);رواه أحمد والمنسوخ وسعيد بن منصور (أحمد مرسل);مرسل
673;لَيَنْتَهِيَنَّ أقوام يرفعون أبصارهم إلى السماء في الصلاة أو لَتُخطَفَنَّ أبصارهم;أبو هريرة;رواه أحمد ومسلم والنسائي (أحمد 2/29، مسلم 2/333، 367، النسائي 3/39);صحيح
674;ما بال أقوام يرفعون أبصارهم إلى السماء في صلاتهم؟ فاشتدَّ قوله ذلك حتى قال: لَيَنْتَهُنَّ أو لَتُخطَفَنَّ أبصارهم;أنس بن مالك;رواه الجماعة إلا مسلماً والترمذي (البخاري 1/191/3، أحمد 3/109، 115، 140، أبو داود 913، النسائي 3/39، ابن ماجه 1044، الطيالسي 2131);صحيح
675;كان رسول الله ﷺ في التشهد وضع يده اليُمنى على فخذه اليُمنى، ويده اليُسرى على فخذه اليُسرى، وأشار بالسبَّابة ولم يُجاوز بصره إشارته;عبد الله بن الزبير;رواه أحمد والنسائي وأبو داود (أحمد 3/4، النسائي 3/39، أبو داود 990);صحيح
676;أنه رأى النبي ﷺ رفع يديه حين دخل في الصلاة فأشار بهما حذو أُذنيه ثم التحف بثوبه...;وائل بن حُجر;رواه أحمد ومسلم وصحَّحه التِّرمذي (البخاري مختصراً، النسائي 2/211، الترمذي 304، 305);صحيح
677;أنه رأى النبي ﷺ حين دخل في الصلاة رفع يديه وكبَّر، ثم التحف بثوبه، ثم وضع يده اليُمنى على اليُسرى;وائل بن حُجر;رواه أحمد ومسلم (مسلم 2/13، أحمد 4/317 - 318);صحيح
678;كان الناس يُؤمَرون أن يضع الرجل اليد اليُمنى على ذراعه اليُسرى في الصلاة;سهل بن سعد عن أبي حازم;رواه أحمد والبخاري (البخاري 1/188/1، أحمد 5/336);صحيح
679;أنه كان يصلي فوضع يده اليُسرى على اليُمنى فرآه النبي ﷺ فوضع يده اليُمنى على اليُسرى;ابن مسعود;رواه أبو داود والنسائي وابن ماجه;حسن
680;إن من السنة في الصلاة وضع الأكفِّ على الأكفِّ تحت السرة;علي بن أبي طالب;رواه أحمد وأبو داود (أبو داود 756، الدارقطني 1/286);ضعيف
681;أن النبي ﷺ كان يقلِّب بصره في السماء فنزلت: ﴿الَّذِينَ هُمْ فِي صَلاتِهِمْ خَاشِعُونَ﴾ فطأطأ رأسه;ابن سيرين (مرسل);رواه أحمد والمنسوخ وسعيد بن منصور;مرسل
682;لَيَنْتَهِيَنَّ أقوام يرفعون أبصارهم إلى السماء في الصلاة أو لَتُخطَفَنَّ أبصارهم;أبو هريرة;رواه أحمد ومسلم والنسائي (أحمد 2/29، مسلم 2/333، النسائي 3/39);صحيح
683;ما بال أقوام يرفعون أبصارهم إلى السماء في صلاتهم؟ فاشتدَّ قوله حتى قال: لَيَنتَهُنَّ أو لَتُخطَفَنَّ أبصارهم;أنس بن مالك;رواه الجماعة إلا مسلماً والترمذي (البخاري 1/191/3، أحمد 3/109، 115، 140، أبو داود 913، النسائي 3/39، ابن ماجه 1044، الطيالسي 2131);صحيح
684;كان رسول الله ﷺ في التشهد وضع يده اليُمنى على فخذه اليُمنى ويده اليُسرى على فخذه اليُسرى وأشار بالسبابة ولم يُجاوز بصره إشارته;عبد الله بن الزبير;رواه أحمد والنسائي وأبو داود (أحمد 3/4، النسائي 3/39، أبو داود 990);صحيح
685;اللهم باعد بيني وبين خطاياي كما باعدت بين المشرق والمغرب، اللهم نقِّني من خطاياي كما يُنقَّى الثوب الأبيض من الدنس، اللهم اغسلني من خطاياي بالثلج والماء والبَرَد;أبو هريرة;رواه الجماعة إلا الترمذي (البخاري 1/189/1، مسلم 2/98، 99، أحمد 2/231، 494، أبو داود 781، النسائي 50/1 - 51، ابن ماجه 805);صحيح
686;وجَّهت وجهي للذي فطر السموات والأرض حنيفاً مسلماً وما أنا من المشركين... اللهم أنت الملك لا إله إلا أنت...;علي بن أبي طالب;رواه أحمد ومسلم والترمذي وصحَّحه (مسلم 2/185 - 186، 94/1 - 95، 102 - 103، الترمذي 3421، 3422، 3423، الطيالسي 147);صحيح
687;كان النبي ﷺ إذا استفتح الصلاة قال: سبحانك اللهم وبحمدك وتبارك اسمك وتعالى جدُّك ولا إله غيرك;عائشة;رواه أبو داود (أبو داود 776، الدارقطني 299/1، الحاكم 335/1);حسن
688;كان إذا قام إلى الصلاة استفتح ثم يقول: أعوذ بالله السميع العليم من الشيطان الرجيم من همزه ونفخه ونفثه;أبو سعيد الخدري;رواه أحمد والترمذي (أحمد 3/50، 69، أبو داود 775، الترمذي 242، النسائي 2/132، ابن ماجه 804);حسن
689;صلَّيت مع النبي ﷺ وأبي بكر وعمر وعثمان فلم أسمع أحداً منهم يقرأ بسم الله الرحمن الرحيم;أنس بن مالك;رواه أحمد ومسلم (أحمد 3/177/2، مسلم 2/12، 273);صحيح
690;سمعني أبي وأنا أقول: بسم الله الرحمن الرحيم... فلما سألني قلت: قرأت بها في نفسي. فقال: إذا قرأت فقل: ﴿الحمد لله رب العالمين﴾;ابن عبد الله بن مغفل;رواه الخمسة إلا أبا داود (الخمسة إلا أبو داود);صحيح
691;سُئل أنس كيف كانت قراءة النبي ﷺ؟ فقال: كانت مدًّا ثم قرأ: ﴿بسم الله الرحمن الرحيم﴾ يمدُّ بـ﴿بسم الله﴾ ويمدُّ بـ﴿الرحمن﴾ ويمدُّ بـ﴿الرحيم﴾;أنس بن مالك;رواه البخاري (البخاري 2/241/6);صحيح
692;كانت قراءته آيةً آيةً ﴿بسم الله الرحمن الرحيم﴾ ﴿الحمد لله رب العالمين﴾ ﴿الرحمن الرحيم﴾ ﴿مالك يوم الدين﴾;أم سلمة;رواه أحمد وأبو داود (أحمد 6/302، 323، أبو داود 4001);صحيح
693;من صلَّى صلاةً لم يقرأ فيها بفاتحة الكتاب فهي خِداج;أبو هريرة;رواه الجماعة إلا البخاري وابن ماجه (مسلم 2/10، 2/285، 821، أبو داود 2953، النسائي 2/135);صحيح
694;إن سورةً من القرآن ثلاثون آيةً شفعت لرجل حتى غُفر له وهي: ﴿تبارك الذي بيده الملك﴾;أبو هريرة;رواه أحمد وأبو داود والترمذي (أحمد 2/299، 321، أبو داود 1400، الترمذي 2891، النسائي 2/135، ابن ماجه 3786);حسن
695;بينا رسول الله ﷺ بين أظهرنا في المسجد إذ أغفى ثم رفع رأسه متبسِّماً، فقلنا: ما أضحكك يا رسول الله؟ قال: نزلت عليَّ آنفاً سورة... فقرأ سورة الكوثر;أنس بن مالك;رواه أحمد ومسلم والنسائي (أحمد 2/299، 321، مسلم 2/788، النسائي 3/133، 2/135، ابن ماجه 815);صحيح
696;كان رسول الله ﷺ لا يعرف فصل السورة حتى تنزل عليه ﴿بسم الله الرحمن الرحيم﴾;ابن عباس;رواه أبو داود (أبو داود 788);صحيح
697;لا صلاة لمن لم يقرأ بفاتحة الكتاب;عبادة بن الصامت;رواه الجماعة (البخاري 1/192/1، 8/2، مسلم 2/321، 322، أحمد 5/314، أبو داود 822، الترمذي 247، النسائي 2/137، ابن ماجه 837);صحيح
698;من صلَّى صلاةً لم يقرأ فيها بأمِّ القرآن فهي خداج;عائشة;رواه أحمد وابن ماجه (أحمد 6/142، ابن ماجه 840);صحيح
699;أن النبي ﷺ أمره أن يخرج فينادي: لا صلاة إلا بقراءة فاتحة الكتاب فما زاد;أبو هريرة;رواه أحمد وأبو داود (أحمد 2/427 - 428، أبو داود 819);صحيح
700;إنما جُعل الإمام ليُؤتمَّ به، فإذا كبَّر فكبِّروا، وإذا قرأ فأنصتوا;أبو هريرة;رواه الخمسة إلا الترمذي (أحمد 2/420، أبو داود 604، النسائي 2/141، ابن ماجه 846);صحيح
701;هل قرأ معي أحد منكم آنفاً؟ فقال رجل: نعم، يا رسول الله. قال: فإني أقول ما لي أُنازَع القرآن؟ فانتهى الناس عن القراءة مع رسول الله ﷺ فيما يجهر فيه رسول الله ﷺ;أبو هريرة;رواه أبو داود والنسائي والترمذي وقال: حديث حسن (أبو داود 826، النسائي 2/141، الترمذي 312);حسن
702;إني أراكم تقرؤون وراء إمامكم... فلا تفعلوا إلا بأمِّ القرآن فإنه لا صلاة لمن لم يقرأ بها;عبادة بن الصامت;رواه أبو داود والترمذي (أبو داود 823، الترمذي 311، البخاري في جزء القراءة وصحَّحه);صحيح
703;لا يقرأنَّ أحدٌ منكم شيئاً من القرآن إذا جهرت بالقراءة إلا بأمِّ القرآن;عبادة بن الصامت;رواه الدارقطني (الدارقطني 1/321) وقال: رجاله كلهم ثقات;صحيح
704;من كان له إمامٌ فقراءة الإمام له قراءة;عبد الله بن شداد عن النبي ﷺ;رواه أحمد وابن ماجه وغيرهم (أحمد 3/339، ابن ماجه 850، الدارقطني 1/323);ضعيف
705;صلَّيت خلف النبي ﷺ فلمَّا انصرف قال: هل قرأ أحدٌ منكم؟...;عبادة بن الصامت;رواه أبو داود والنسائي والدارقطني (أبو داود 828، النسائي 2/141، الدارقطني 1/321، 320);صحيح
706;بينا رسول الله ﷺ يصلي الصبح... فانتهى الناس عن القراءة خلف رسول الله ﷺ;أبو هريرة;رواه الخمسة وغيرهم (أبو داود 826، النسائي 2/141، الترمذي 312);حسن
707;إذا قرأ فأنصتوا;أبو موسى الأشعري;رواه مسلم (مسلم 2/15);صحيح
708;من صلَّى صلاةً لم يقرأ فيها بأمِّ القرآن فهي خداج;أبو هريرة;متفق عليه (البخاري 2/10، مسلم 2/9);صحيح
709;لا صلاة لمن لم يقرأ بفاتحة الكتاب;عبادة بن الصامت;رواه الجماعة (البخاري 1/192/1، مسلم 2/321);صحيح
710;أُقسِّم الصلاة بيني وبين عبدي نصفين، وللعبدي ما سأل...;أبو هريرة (مرفوع);رواه الجماعة إلا البخاري وابن ماجه (مسلم 2/10، أبو داود 821، النسائي 2/135);صحيح
711;كان قراءة رسول الله ﷺ آيةً آيةً;أم سلمة;رواه أحمد وأبو داود (أحمد 6/302، أبو داود 4001);صحيح
712;لا تُجزئ صلاةٌ لمن لم يقرأ بفاتحة الكتاب فما زاد;أبو هريرة;رواه أحمد وأبو داود (أحمد 2/427 - 428، أبو داود 819);صحيح
713;كان رسول الله ﷺ لا يعرف فصل السورة حتى تنزل عليه ﴿بسم الله الرحمن الرحيم﴾;ابن عباس;رواه أبو داود (أبو داود 788);صحيح
